,start station name,number_of_customers
298,Columbus Ave & W 95 St,5483
299,1 Ave & E 30 St,5481
300,W 27 St & 10 Ave,5460
301,Frederick Douglass Blvd & W 117 St,5412
302,W 95 St & Broadway,5339
303,E 2 St & Avenue C,5330
304,McGuinness Blvd & Eagle St,5316
305,Roebling St & N 4 St,5267
306,E 11 St & Avenue B,5254
307,E 53 St & 3 Ave,5243
308,W 110 St & Amsterdam Ave,5225
309,Lawrence St & Willoughby St,5208
310,Huron St & Franklin St,5165
311,W 40 St & 5 Ave,5148
312,W 43 St & 6 Ave,5136
313,3 Ave & E 62 St,5132
314,Plaza St West & Flatbush Ave,5113
315,Atlantic Ave & Fort Greene Pl,5105
316,46 Ave & 5 St,5093
317,Cathedral Pkwy & Broadway,5089
318,Metropolitan Ave & Meeker Ave,5070
319,Lenox Ave & W 130 St,5028
320,Leonard St & Church St,5023
321,W 100 St & Broadway,5019
322,E 6 St & Avenue D,5006
323,Pike St & Monroe St,4993
324,E 27 St & 1 Ave,4977
325,E 66 St & Madison Ave,4968
326,Columbia Heights & Cranberry St,4959
327,Hicks St & Montague St,4952
328,W 84 St & Broadway,4897
329,Clinton Ave & Flushing Ave,4892
330,Avenue C & E 18 St,4888
331,Park Pl & Church St,4853
332,Van Brunt St & Van Dyke St,4822
333,Pike St & E Broadway,4818
334,Center Blvd & 51 Ave,4797
335,E 110 St & Madison Ave,4760
336,Market St & Cherry St,4747
337,W 16 St & 8 Ave,4730
338,E 91 St & 2 Ave,4718
339,E 84 St & Park Ave,4718
340,Broadway & W 32 St,4717
341,Eastern Pkwy & Franklin Ave,4693
342,E 55 St & 2 Ave,4691
343,E 47 St & 1 Ave,4672
344,Driggs Ave & N 9 St,4646
345,Prospect Park West & 8 St,4620
346,Graham Ave & Conselyea St,4570
347,W 18 St & 9 Ave,4515
348,Eastern Pkwy & Washington Ave,4510
349,Meserole Ave & Manhattan Ave,4509
350,12 Ave & W 125 St,4509
351,Stagg St & Union Ave,4470
352,John St & William St,4462
353,Montrose Ave & Bushwick Ave,4453
354,Nassau Ave & Russell St,4451
355,Scholes St & Manhattan Ave,4439
356,West End Ave & W 94 St,4434
357,Center Blvd & 48 Ave,4425
358,E 72 St & York Ave,4425
359,Myrtle Ave & Lewis Ave,4418
360,2 Ave & E 72 St,4404
361,Cadman Plaza E & Tillary St,4366
362,E 58 St &  1 Ave (NW Corner),4350
363,E 68 St & Madison Ave,4319
364,W 15 St & 6 Ave,4298
365,E 81 St & 2 Ave,4286
366,44 Dr & Jackson Ave,4280
367,3 Ave & Schermerhorn St,4277
368,Lexington Ave & E 36 St,4263
369,Franklin St & Dupont St,4260
370,E 85 St & 3 Ave,4255
371,St. Nicholas Ave & W 126 St,4231
372,E 16 St & Irving Pl,4227
373,E 43 St & 2 Ave,4222
374,E 74 St & 1 Ave,4200
375,Stanton St & Mangin St,4193
376,Duane St & Greenwich St,4188
377,E 60 St & York Ave,4187
378,Bergen St & Flatbush Ave,4174
379,E 84 St & 1 Ave,4172
380,Pearl St & Anchorage Pl,4139
381,Broad St & Bridge St,4133
382,DeKalb Ave & Hudson Ave,4130
383,Grand St & Greene St,4129
384,DeKalb Ave & S Portland Ave,4123
385,Concord St & Bridge St,4102
386,W 87 St & Amsterdam Ave,4101
387,Old Slip & Front St,4086
388,Astoria Park S & Shore Blvd,4075
389,W 116 St & Broadway,4070
390,E 5 St & Avenue C,4061
391,Duffield St & Willoughby St,4054
392,W 100 St & Manhattan Ave,4037
393,E 76 St & Park Ave,4029
394,Lafayette Ave & Fort Greene Pl,4029
395,Court St & State St,3962
396,Henry St & Atlantic Ave,3957
397,S 4 St & Rodney St,3956
398,Catherine St & Monroe St,3944
399,Johnson St & Gold St,3944
400,Central Park West & W 82 St,3939
401,Fulton St & Utica Ave,3919
402,Greenpoint Ave & Manhattan Ave,3917
403,Front St & Gold St,3912
404,Vernon Blvd & 50 Ave,3862
405,Schermerhorn St & Bond St,3858
406,E 12 St & 4 Av,3852
407,Graham Ave & Grand St,3847
408,Bedford Ave & Bergen St,3816
409,31 St & 23 Ave,3815
410,E 88 St & 1 Ave,3811
411,Emerson Pl & Myrtle Ave,3795
412,2 Ave & E 96 St,3789
413,E 52 St & 2 Ave,3785
414,Carlton Ave & Flushing Ave,3741
415,Ditmars Blvd & 19 St,3704
416,Bergen St & Vanderbilt Ave,3666
417,Amsterdam Ave & W 125 St,3658
418,E 102 St & 1 Ave,3635
419,Driggs Ave & Lorimer St,3630
420,W 113 St & Broadway,3629
421,W 104 St & Amsterdam Ave,3613
422,W 74 St & Columbus Ave,3608
423,India St & Manhattan Ave,3603
424,St Nicholas Ave & Manhattan Ave,3599
425,W 78 St & Broadway,3585
426,W 116 St & Amsterdam Ave,3579
427,Dean St & 4 Ave,3567
428,Columbia St & Degraw St,3561
429,Lenox Ave & W 117 St,3554
430,Willoughby St & Fleet St,3551
431,Madison St & Clinton St,3536
432,Washington Ave & Park Ave,3534
433,E 81 St & 3 Ave,3522
434,Lewis Ave & Madison St,3521
435,Cadman Plaza West & Montague St,3495
436,DeKalb Ave & Vanderbilt Ave,3492
437,Henry St & Middagh St,3466
438,Bushwick Ave & Powers St,3443
439,East End Ave & E 86 St,3427
440,Devoe St & Lorimer St,3425
441,State St & Smith St,3418
442,Frederick Douglass Blvd & W 115 St,3411
443,E 65 St & 2 Ave,3410
444,Banker St & Meserole Ave,3396
445,Pleasant Ave & E 116 St,3396
446,Vernon Blvd & 47 Rd,3357
447,Henry St & Grand St,3333
448,Avenue D & E 8 St,3316
449,Lexington Ave & E 63 St,3298
450,Lafayette Ave & Classon Ave,3288
451,Adam Clayton Powell Blvd & W 126 St,3260
452,Frederick Douglass Blvd & W 129 St,3225
453,Carroll St & Smith St,3212
454,W 106 St & Amsterdam Ave,3196
455,E 78 St & 2 Ave,3191
456,West End Ave & W 107 St,3176
457,5 Ave & 3 St,3164
458,Amsterdam Ave & W 66 St,3149
459,Park Ave & E 124 St,3127
460,E 91 St & Park Ave,3106
461,Clinton Ave & Myrtle Ave,3089
462,W 120 St & Claremont Ave,3078
463,1 Ave & E 94 St,3075
464,Berkeley Pl & 7 Ave,3066
465,Fulton St & Waverly Ave,3051
466,Union St & Nevins St,3047
467,Harrison St & Hudson St,3042
468,Lenox Ave & W 115 St,3039
469,Kingston Ave & Herkimer St,3038
470,E 89 St & 3 Ave,3034
471,India St & West St,3018
472,Front St & Jay St,3004
473,3 Ave & E 72 St,3001
474,Park Pl & Vanderbilt Ave,3000
475,Smith St & 9 St,2994
476,Dean St & Franklin Ave,2986
477,6 Ave & Spring St,2983
478,Lafayette Ave & St James Pl,2973
479,E 75 St & 3 Ave,2971
480,Baltic St & 5 Ave,2966
481,Bialystoker Pl & Delancey St,2962
482,Madison St & Montgomery St,2945
483,Underhill Ave & Lincoln Pl,2941
484,Avenue D & E 3 St,2921
485,W 17 St & 9 Ave,2913
486,31 St & Broadway,2911
487,Pioneer St & Van Brunt St,2910
488,Leonard St & Maujer St,2897
489,Columbia St & Kane St,2893
490,Leonard St & Nassau Ave,2887
491,Schermerhorn St & Court St,2869
492,Vernon Blvd & 10 St,2867
493,Vernon Blvd & 41 Rd,2861
494,Macon St & Nostrand Ave,2858
495,Franklin Ave & Myrtle Ave,2856
496,Coffey St & Conover St,2849
497,E 106 St & Madison Ave,2842
498,Gold St & Frankfort St,2836
499,Driggs Ave & N Henry St,2824
500,Boerum St & Broadway,2809
501,34 Ave & 38 St,2809
502,Clinton St & Joralemon St,2807
503,E 88 St & Park Ave,2805
504,Lewis Ave & Kosciuszko St,2778
505,E 84 St & 3 Ave,2766
506,Humboldt St & Varet St,2765
507,Degraw St & Smith St,2763
508,Union St & 4 Ave,2763
509,14 St & 5 Ave,2743
510,Rogers Ave & Sterling St,2741
511,Wyckoff Av & Jefferson St,2711
512,Marcy Ave & Lafayette Ave,2699
513,Nassau Ave & Newell St,2696
514,St Johns Pl & Washington Ave,2693
515,Avenue D & E 12 St,2693
516,W 92 St & Broadway,2692
517,E 81 St & York Ave,2677
518,S Portland Ave & Hanson Pl,2669
519,Sterling Pl & Bedford Ave,2668
520,28 St & 41 Ave,2623
521,7 Ave & Park Pl,2622
522,Greene Ave & Nostrand Ave,2614
523,E 67 St & Park Ave,2614
524,Monroe St & Bedford Ave,2611
525,Monroe St & Classon Ave,2605
526,9 St & 44 Rd,2600
527,Washington Park,2587
528,Union Ave & Jackson St,2560
529,Carroll St & 5 Ave,2556
530,Carlton Ave & Dean St,2549
531,E 77 St & 3 Ave,2539
532,Bedford Ave & S 9 St,2538
533,Suydam St & Knickerbocker Ave,2537
534,Myrtle Ave & St Edwards St,2526
535,Morningside Ave & W 123 St,2525
536,Hancock St & Bedford Ave,2523
537,W 12 St & W 4 St,2521
538,Franklin Ave & St Marks Ave,2519
539,45 Rd & 11 St,2515
540,Broadway & Whipple St,2510
541,E 82 St & East End Ave,2501
542,Adelphi St & Myrtle Ave,2499
543,St James Pl & Pearl St,2498
544,27 St & Hunter St,2482
545,Halsey St & Tompkins Ave,2479
546,Mt Morris Park W & W 120 St,2478
547,McKibbin St & Bogart St,2469
548,Cedar St & Myrtle Ave,2469
549,Congress St & Clinton St,2469
550,Kosciuszko St & Nostrand Ave,2463
551,36 Ave & 10 St,2457
552,W 90 St & Amsterdam Ave,2456
553,Willoughby Ave & Tompkins Ave,2446
554,1 Ave & E 110 St,2445
555,Vernon Blvd & 31 Ave,2436
556,Douglass St & 3 Ave,2428
557,Clinton St & Tillary St,2426
558,31 Ave & 34 St,2420
559,W Broadway & Spring St,2417
560,Myrtle Ave & Marcy Ave,2416
561,DeKalb Ave & Franklin Ave,2404
562,14 St & 7 Ave,2402
563,Dean St & Hoyt St,2392
564,Bond St & Bergen St,2379
565,43 St & Broadway,2376
566,E 89 St & York Ave,2372
567,Lexington Ave & Classon Ave,2371
568,31 St & Newtown Ave,2370
569,Douglass St & 4 Ave,2360
570,Vernon Blvd & 30 Rd,2357
571,Jackson Ave & 46 Rd,2354
572,Monroe St & Tompkins Ave,2344
573,3 St & 7 Ave,2339
574,West St & Liberty St,2330
575,Classon Ave & St Marks Ave,2326
576,Cumberland St & Lafayette Ave,2321
577,W 107 St & Columbus Ave,2316
578,Laight St & Hudson St,2308
579,Kosciuszko St & Tompkins Ave,2287
580,21 St & Queens Plaza North,2279
581,Park Pl & Franklin Ave,2266
582,19 St & 24 Ave,2266
583,31 Ave & Steinway St,2256
584,W 169 St & Fort Washington Ave,2249
585,Greene Av & Myrtle Av,2247
586,N 15 St & Wythe Ave,2240
587,White St & Moore St,2223
588,Madison Ave & E 99 St,2209
589,E 55 St & Lexington Ave,2199
590,Steinway St & 28 Ave,2193
591,Lewis Ave & Decatur St,2191
592,2 Ave & E 104 St,2190
593,Willoughby Ave & Walworth St,2185
594,E 51 St & 2 Ave,2179
595,Adam Clayton Powell Blvd & W 118 St,2178
596,Richardson St & N Henry St,2175
597,Grand Ave & Bergen St,2166
598,3 St & 3 Ave,2165
599,Willoughby Ave & Hall St,2162
600,E 93 St & 2 Ave,2159
601,Carroll St & Columbia St,2157
602,E 85 St & York Ave,2155
603,Van Brunt St & Wolcott St,2151
604,E 58 St & 1 Ave (NE Corner),2141
605,3 Ave & E 71 St,2106
606,Graham Ave & Withers St,2103
607,Columbia St & Rivington St,2093
608,Henry St & Poplar St,2083
609,44 Dr & 21 St,2079
610,Court St & Nelson St,2078
611,Greene Ave & Throop Ave,2063
612,Smith St & 3 St,2054
613,Carroll St & Bond St,2054
614,McKibbin St & Manhattan Ave,2039
615,E 56 St & 3 Ave,2027
616,W 42 St & 6 Ave,2019
617,Steinway St & 23 Ave,2018
618,E 68 St & 3 Ave,2007
619,35 Ave & 37 St,1995
620,Lefferts Pl & Franklin Ave,1993
621,Leonard St & Boerum St,1992
622,Underhill Ave & Pacific St,1989
623,E 103 St & Lexington Ave,1989
624,Sterling St & Bedford Ave,1985
625,Putnam Ave & Throop Ave,1984
626,Amsterdam Ave & W 119 St,1983
627,Crescent St & Broadway,1972
628,Broadway & W 122 St,1958
629,Clinton St & 4 Place,1949
630,Adam Clayton Powell Blvd & W 123 St,1947
631,Warren St & Court St,1945
632,Bayard St & Leonard St,1941
633,Verona Pl & Fulton St,1930
634,Central Ave & Starr Street,1927
635,W 129 St & Convent Ave,1922
636,Willoughby Ave & Wyckoff Ave,1909
637,21 St & Hoyt Ave S,1900
638,Adam Clayton Powell Blvd & W 115 St,1895
639,Prospect Pl & 6 Ave,1881
640,Fulton St & Clermont Ave,1864
641,Union Ave & Wallabout St,1861
642,Washington Ave & Greene Ave,1861
643,E 58 St & 1 Ave,1854
644,Nostrand Ave & Myrtle Ave,1847
645,E 115 St & Lexington Ave,1837
646,Tompkins Ave & Hopkins St,1837
647,Division Av & Hooper St,1836
648,Henry St & Degraw St,1829
649,Irving Ave & Jefferson St,1822
650,E 114 St & 1 Ave,1814
651,Wall St & South St,1813
652,Garfield Pl & 8 Ave,1797
653,E 106 St & Lexington Ave,1796
654,Lexington Ave & E 24 St,1792
655,Lexington Ave & E 111 St,1788
656,Pulaski St & Marcus Garvey Blvd,1787
657,W 30 St & 10 Ave,1782
658,Clinton St & Union St,1781
659,48 Ave & 5 St,1781
660,E 109 St & 3 Ave,1771
661,E 11 St & Broadway,1768
662,10 St & 7 Ave,1766
663,Pacific St & Nevins St,1764
664,Park Ave & Marcus Garvey Blvd,1761
665,W 45 St & 6 Ave (OLD),1760
666,W 13 St & 6 Ave,1759
667,Butler St & Court St,1750
668,George St & Wilson Ave,1747
669,Lorimer St & Broadway,1738
670,5 Ave & E 126 St,1738
671,Union St & Bedford Ave,1738
672,Clermont Ave & Lafayette Ave,1737
673,2 Ave & 36 St - Citi Bike HQ at Industry City,1731
674,28 Ave & 35 St,1720
675,Pitt St & Stanton St,1711
676,Kane St & Clinton St,1703
677,President St & Henry St,1699
678,4 Ave & 9 St,1698
679,Division Ave & Marcy Ave,1690
680,E 35 St & 3 Ave,1690
681,Newtown Ave & 23 St,1690
682,E 102 St & Park Ave,1678
683,24 St & 41 Ave,1674
684,E 118 St & 3 Ave,1673
685,Berkeley Pl & 6 Ave,1650
686,31 St & Astoria Blvd,1632
687,Carroll St & Washington Ave,1631
688,6 Ave & 9 St,1631
689,E 55 St & 3 Ave,1622
690,Carroll St & 6 Ave,1621
691,31 Ave & 30 St,1619
692,1 Ave & E 5 St,1618
693,Crescent St & Ditmars Blvd,1618
694,Knickerbocker Ave & George St,1592
695,Knickerbocker Ave & Thames St,1571
696,Central Ave & Flushing Ave,1569
697,Prospect Pl & Underhill Ave,1566
698,E 81 St & Park Ave,1564
699,Marcus Garvey Blvd & Macon St,1560
700,Stockholm St & Wilson Ave,1554
701,W 87 St & West End Ave,1547
702,31 St & Thomson Ave,1510
703,W 88 St & West End Ave,1510
704,10 St & 5 Ave,1509
705,Sharon St & Olive St,1509
706,47 Ave & 31 St,1503
707,W 59 St & West End Ave,1498
708,24 Ave & 29 St,1495
709,Pierrepont St & Monroe Pl,1476
710,35 St & Broadway,1465
711,21 St & 31 Dr,1462
712,Madison Ave & E 120 St,1461
713,Pleasant Ave & E 120 St,1460
714,2 Ave & E 99 St,1460
715,E 106 St & 1 Ave,1456
716,5 St & 51 Ave,1455
717,Degraw St & Hoyt St,1455
718,37 Ave & 35 St,1448
719,Dwight St & Van Dyke St,1445
720,Carlton Ave & Park Ave,1442
721,W Broadway & W Houston St,1430
722,28 Ave & 44 St,1426
723,Commerce St & Van Brunt St,1426
724,Frost St & Meeker Ave,1418
725,N 8 St & Driggs Ave,1416
726,E 118 St & 1 Ave,1409
727,Newton Rd & 44 St,1406
728,Cambridge Pl & Gates Ave,1402
729,Putnam Ave & Nostrand Ave,1398
730,Sigourney St & Columbia St,1396
731,Albany Ave & Fulton St,1395
732,E 116 St & 2 Ave,1392
733,3 Ave & 14 St,1377
734,1 Pl & Clinton St,1369
735,7 St & 5 Ave,1352
736,Pearl St & Peck Slip,1347
737,2 Ave & E 122 St,1320
738,E 128 St & Madison Ave,1315
739,Irving Ave & DeKalb Ave,1308
740,Clermont Ave & Park Ave,1308
741,Crescent St & 30 Ave,1298
742,36 Ave & 31 St,1293
743,E 44 St & 2 Ave,1284
744,Fulton St & Rockwell Pl,1280
745,Columbus Ave & W 103 St,1277
746,E 115 St & Madison Ave,1265
747,E 12 St & Avenue B,1254
748,31 St & Northern Blvd,1252
749,6 St & 7 Ave,1251
750,Center Blvd & Borden Ave,1235
751,6 Ave & 12 St,1220
752,E 53 St & Lexington Ave,1218
753,E 123 St & Lexington Ave,1216
754,24 Ave & 26 St,1211
755,Graham Ave & Herbert St,1210
756,W 47 St & 6 Ave,1201
757,Lincoln Pl & Classon Ave,1195
758,Delancey St & Eldridge St,1188
759,3 Ave & E 112 St,1170
760,Wyckoff St & 3 Ave,1170
761,35 St & 34 Ave,1169
762,Thompson St & Bleecker St,1160
763,E 97 St & 3 Ave,1158
764,Lafayette St & Jersey St S,1154
765,Throop Ave & Myrtle Ave,1151
766,31 Ave & Crescent St,1149
767,27 Ave & 9 St,1146
768,34 St & 35 Ave,1144
769,Jackson St & Leonard St,1144
770,Lexington Ave & E 127 St,1143
771,4 Ave & E 12 St,1139
772,40 Ave & 9 St,1119
773,2 Ave & E 55 St,1095
774,49 Ave & 21 St,1088
775,11 St & 43 Ave,1086
